game_pk,team,hrs
718781,New York Yankees,2
718782,Baltimore Orioles,2
718776,Tampa Bay Rays,2
718779,Philadelphia Phillies,1
718779,Texas Rangers,2
718773,Cincinnati Reds,1
718773,Pittsburgh Pirates,1
718772,St. Louis Cardinals,2
718774,Miami Marlins,1
718768,Chicago White Sox,1
718768,Houston Astros,1
718778,Colorado Rockies,3
718770,Los Angeles Dodgers,1
718767,Seattle Mariners,1
718771,Miami Marlins,2
718771,New York Mets,1
718764,Houston Astros,1
718766,Colorado Rockies,1
718765,Arizona Diamondbacks,1
718765,Los Angeles Dodgers,1
718760,Chicago White Sox,2
718758,Chicago Cubs,1
718752,Texas Rangers,3
718753,Atlanta Braves,4
718753,Washington Nationals,1
718762,New York Yankees,2
718762,San Francisco Giants,2
718757,Los Angeles Angels,1
718757,Oakland Athletics,1
718761,Baltimore Orioles,3
718761,Boston Red Sox,4
718756,Cincinnati Reds,3
718754,Tampa Bay Rays,1
718755,Miami Marlins,1
718755,New York Mets,1
718750,Colorado Rockies,1
718750,San Diego Padres,1
718749,Arizona Diamondbacks,1
718749,Los Angeles Dodgers,4
718746,Cleveland Guardians,2
718742,Detroit Tigers,1
718742,Tampa Bay Rays,1
718748,Baltimore Orioles,2
718748,Boston Red Sox,1
718747,New York Yankees,3
718744,Cincinnati Reds,2
718744,Pittsburgh Pirates,1
718741,New York Mets,1
718745,Kansas City Royals,2
718745,Minnesota Twins,2
718740,Chicago White Sox,2
718737,St. Louis Cardinals,4
718738,Chicago Cubs,2
718734,Los Angeles Angels,3
718736,Los Angeles Dodgers,1
718733,Colorado Rockies,1
718733,San Diego Padres,2
718735,Cleveland Guardians,1
718735,Seattle Mariners,1
718739,Texas Rangers,1
718731,Milwaukee Brewers,2
718730,Chicago White Sox,1
718730,San Francisco Giants,7
718728,Chicago Cubs,1
718728,Cincinnati Reds,1
718729,Minnesota Twins,4
718732,Tampa Bay Rays,3
718732,Washington Nationals,1
718725,New York Yankees,2
718724,Boston Red Sox,3
718724,Pittsburgh Pirates,3
718719,Kansas City Royals,1
718719,Toronto Blue Jays,1
718727,Atlanta Braves,3
718727,St. Louis Cardinals,1
718726,Baltimore Orioles,2
718723,Detroit Tigers,2
718723,Houston Astros,1
718721,Cleveland Guardians,1
718721,Oakland Athletics,3
718722,Arizona Diamondbacks,2
718722,San Diego Padres,3
718720,Los Angeles Angels,2
718718,Los Angeles Dodgers,3
718717,San Diego Padres,3
718716,Cincinnati Reds,3
718714,Miami Marlins,1
718715,Tampa Bay Rays,4
718710,New York Yankees,1
718710,Philadelphia Phillies,2
718713,Pittsburgh Pirates,2
718708,Kansas City Royals,1
718708,Toronto Blue Jays,1
718712,Milwaukee Brewers,5
718711,Atlanta Braves,2
718709,Baltimore Orioles,2
718709,Texas Rangers,2
718705,Detroit Tigers,1
718705,Houston Astros,1
718707,Cleveland Guardians,1
718706,Seattle Mariners,4
718703,Los Angeles Dodgers,3
718704,Tampa Bay Rays,2
718699,New York Yankees,1
718699,Philadelphia Phillies,1
718701,Miami Marlins,2
718697,Atlanta Braves,1
718697,St. Louis Cardinals,1
718702,Pittsburgh Pirates,1
718698,Milwaukee Brewers,2
718698,New York Mets,2
718694,Texas Rangers,1
