game_pk,team,ks
718780,Atlanta Braves,7
718780,Washington Nationals,5
718781,New York Yankees,16
718781,San Francisco Giants,16
718782,Baltimore Orioles,8
718782,Boston Red Sox,9
718777,Chicago Cubs,5
718777,Milwaukee Brewers,12
718776,Detroit Tigers,6
718776,Tampa Bay Rays,7
718779,Philadelphia Phillies,13
718779,Texas Rangers,8
718773,Cincinnati Reds,14
718773,Pittsburgh Pirates,11
718772,St. Louis Cardinals,8
718772,Toronto Blue Jays,11
718775,Kansas City Royals,11
718775,Minnesota Twins,9
718774,Miami Marlins,12
718774,New York Mets,5
718768,Chicago White Sox,9
718768,Houston Astros,13
718778,Colorado Rockies,17
718778,San Diego Padres,10
718769,Los Angeles Angels,8
718769,Oakland Athletics,12
718770,Arizona Diamondbacks,8
718770,Los Angeles Dodgers,12
718767,Cleveland Guardians,9
718767,Seattle Mariners,5
718771,Miami Marlins,5
718771,New York Mets,8
718764,Chicago White Sox,11
718764,Houston Astros,8
718766,Colorado Rockies,8
718766,San Diego Padres,5
718765,Arizona Diamondbacks,5
718765,Los Angeles Dodgers,9
718763,Cleveland Guardians,4
718763,Seattle Mariners,13
718760,Chicago White Sox,12
718760,Houston Astros,8
718759,St. Louis Cardinals,8
718759,Toronto Blue Jays,8
718758,Chicago Cubs,10
718758,Milwaukee Brewers,13
718752,Philadelphia Phillies,7
718752,Texas Rangers,12
718753,Atlanta Braves,8
718753,Washington Nationals,11
718762,New York Yankees,9
718762,San Francisco Giants,13
718757,Los Angeles Angels,7
718757,Oakland Athletics,5
718761,Baltimore Orioles,11
718761,Boston Red Sox,8
718756,Cincinnati Reds,8
718756,Pittsburgh Pirates,12
718754,Detroit Tigers,10
718754,Tampa Bay Rays,15
718751,Kansas City Royals,5
718751,Minnesota Twins,8
718755,Miami Marlins,12
718755,New York Mets,5
718750,Colorado Rockies,6
718750,San Diego Padres,4
718749,Arizona Diamondbacks,10
718749,Los Angeles Dodgers,7
718746,Cleveland Guardians,9
718746,Seattle Mariners,7
718742,Detroit Tigers,14
718742,Tampa Bay Rays,4
718748,Baltimore Orioles,10
718748,Boston Red Sox,7
718743,Atlanta Braves,6
718743,Washington Nationals,4
718747,New York Yankees,7
718747,San Francisco Giants,12
718744,Cincinnati Reds,6
718744,Pittsburgh Pirates,7
718741,Miami Marlins,12
718741,New York Mets,7
718745,Kansas City Royals,9
718745,Minnesota Twins,9
718740,Chicago White Sox,7
718740,Houston Astros,12
718737,St. Louis Cardinals,3
718737,Toronto Blue Jays,6
718738,Chicago Cubs,7
718738,Milwaukee Brewers,10
718734,Los Angeles Angels,6
718734,Oakland Athletics,9
718736,Arizona Diamondbacks,6
718736,Los Angeles Dodgers,11
718733,Colorado Rockies,10
718733,San Diego Padres,5
718735,Cleveland Guardians,6
718735,Seattle Mariners,11
718739,Philadelphia Phillies,8
718739,Texas Rangers,6
718731,Milwaukee Brewers,6
718731,New York Mets,9
718730,Chicago White Sox,5
718730,San Francisco Giants,9
718728,Chicago Cubs,8
718728,Cincinnati Reds,6
718729,Miami Marlins,11
718729,Minnesota Twins,3
718732,Tampa Bay Rays,5
718732,Washington Nationals,8
718725,New York Yankees,7
718725,Philadelphia Phillies,7
718724,Boston Red Sox,10
718724,Pittsburgh Pirates,10
718719,Kansas City Royals,11
718719,Toronto Blue Jays,8
718727,Atlanta Braves,10
718727,St. Louis Cardinals,6
718726,Baltimore Orioles,12
718726,Texas Rangers,7
718723,Detroit Tigers,11
718723,Houston Astros,4
718721,Cleveland Guardians,8
718721,Oakland Athletics,9
718722,Arizona Diamondbacks,8
718722,San Diego Padres,6
718720,Los Angeles Angels,11
718720,Seattle Mariners,8
718718,Colorado Rockies,12
718718,Los Angeles Dodgers,11
718717,Arizona Diamondbacks,5
718717,San Diego Padres,6
718716,Chicago Cubs,7
718716,Cincinnati Reds,10
718714,Miami Marlins,12
718714,Minnesota Twins,5
718715,Tampa Bay Rays,7
718715,Washington Nationals,6
718710,New York Yankees,9
718710,Philadelphia Phillies,12
718713,Boston Red Sox,5
718713,Pittsburgh Pirates,8
718708,Kansas City Royals,7
718708,Toronto Blue Jays,7
718712,Milwaukee Brewers,3
718712,New York Mets,3
718711,Atlanta Braves,12
718711,St. Louis Cardinals,6
718709,Baltimore Orioles,6
718709,Texas Rangers,8
718705,Detroit Tigers,11
718705,Houston Astros,6
718707,Cleveland Guardians,10
718707,Oakland Athletics,9
718706,Los Angeles Angels,8
718706,Seattle Mariners,9
718703,Colorado Rockies,7
718703,Los Angeles Dodgers,9
718704,Tampa Bay Rays,7
718704,Washington Nationals,7
718699,New York Yankees,8
718699,Philadelphia Phillies,12
718701,Miami Marlins,10
718701,Minnesota Twins,13
718697,Atlanta Braves,8
718697,St. Louis Cardinals,7
718702,Boston Red Sox,8
718702,Pittsburgh Pirates,5
718698,Milwaukee Brewers,10
718698,New York Mets,5
718694,Baltimore Orioles,14
718694,Texas Rangers,9
718696,Detroit Tigers,9
718696,Houston Astros,4
718695,Chicago White Sox,7
718695,San Francisco Giants,13
718689,Cleveland Guardians,8
718689,Oakland Athletics,7
718691,Los Angeles Angels,11
718691,Seattle Mariners,10
718692,Kansas City Royals,7
718692,Toronto Blue Jays,6
718690,Boston Red Sox,3
718690,Detroit Tigers,9
718686,Kansas City Royals,12
718686,Toronto Blue Jays,12
718687,Chicago White Sox,10
718687,San Francisco Giants,9
718682,Colorado Rockies,9
718682,Washington Nationals,8
718681,Atlanta Braves,7
718681,San Diego Padres,12
718683,Arizona Diamondbacks,8
718683,Los Angeles Dodgers,8
