date,total_items,total_events,total_games,total_games_in_progress,game_pk,game_guid,link,game_type,season,game_date,official_date,is_tie,game_number,public_facing,double_header,gameday_type,tiebreaker,calendar_event_id,season_display,day_night,scheduled_innings,reverse_home_away_status,inning_break_length,series_description,record_source,if_necessary,if_necessary_description,games_in_series,series_game_number,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,status_abstract_game_code,teams_away_score,teams_away_is_winner,teams_away_split_squad,teams_away_series_number,teams_away_league_record_wins,teams_away_league_record_losses,teams_away_league_record_pct,teams_away_team_id,teams_away_team_name,teams_away_team_link,teams_home_score,teams_home_is_winner,teams_home_split_squad,teams_home_series_number,teams_home_league_record_wins,teams_home_league_record_losses,teams_home_league_record_pct,teams_home_team_id,teams_home_team_name,teams_home_team_link,venue_id,venue_name,venue_link,content_link,status_reason,description,reschedule_date,reschedule_game_date,rescheduled_from,rescheduled_from_date,resume_date,resume_game_date,resumed_from,resumed_from_date,events
2023-03-30,15,0,15,0,718780,28889d0d-b745-4054-b0d3-5fc4cfa06df9,/api/v1.1/game/718780/feed/live,R,2023,2023-03-30T17:05:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718780-2023-03-30,2023,day,9,FALSE,120,Regular Season,S,N,Normal Game,3,1,Final,F,Final,F,FALSE,F,7,TRUE,FALSE,1,1,0,1.000,144,Atlanta Braves,/api/v1/teams/144,2,FALSE,FALSE,1,0,1,.000,120,Washington Nationals,/api/v1/teams/120,3309,Nationals Park,/api/v1/venues/3309,/api/v1/game/718780/content,NA,Nationals home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-30,15,0,15,0,718781,ff222b1e-8305-4b37-89a5-2e150e1a708f,/api/v1.1/game/718781/feed/live,R,2023,2023-03-30T17:05:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718781-2023-03-30,2023,day,9,FALSE,145,Regular Season,S,N,Normal Game,3,1,Final,F,Final,F,FALSE,F,0,FALSE,FALSE,1,0,1,.000,137,San Francisco Giants,/api/v1/teams/137,5,TRUE,FALSE,1,1,0,1.000,147,New York Yankees,/api/v1/teams/147,3313,Yankee Stadium,/api/v1/venues/3313,/api/v1/game/718781/content,NA,Yankees home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-30,15,0,15,0,718782,1f695ffe-1a00-41b0-b49e-49eba23de34b,/api/v1.1/game/718782/feed/live,R,2023,2023-03-30T18:10:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718782-2023-03-30,2023,day,9,FALSE,120,Regular Season,S,N,Normal Game,3,1,Final,F,Final,F,FALSE,F,10,TRUE,FALSE,1,1,0,1.000,110,Baltimore Orioles,/api/v1/teams/110,9,FALSE,FALSE,1,0,1,.000,111,Boston Red Sox,/api/v1/teams/111,3,Fenway Park,/api/v1/venues/3,/api/v1/game/718782/content,NA,Red Sox home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-30,15,0,15,0,718777,5c968a1a-e61e-42fa-8609-720a021e6c35,/api/v1.1/game/718777/feed/live,R,2023,2023-03-30T18:20:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718777-2023-03-30,2023,day,9,FALSE,120,Regular Season,S,N,Normal Game,3,1,Final,F,Final,F,FALSE,F,0,FALSE,FALSE,1,0,1,.000,158,Milwaukee Brewers,/api/v1/teams/158,4,TRUE,FALSE,1,1,0,1.000,112,Chicago Cubs,/api/v1/teams/112,17,Wrigley Field,/api/v1/venues/17,/api/v1/game/718777/content,NA,Cubs home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-30,15,0,15,0,718776,a2bf6d6f-ec9e-44b3-9f37-9c4bfdc0969a,/api/v1.1/game/718776/feed/live,R,2023,2023-03-30T19:10:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718776-2023-03-30,2023,day,9,FALSE,120,Regular Season,S,N,Normal Game,3,1,Final,F,Final,F,FALSE,F,0,FALSE,FALSE,1,0,1,.000,116,Detroit Tigers,/api/v1/teams/116,4,TRUE,FALSE,1,1,0,1.000,139,Tampa Bay Rays,/api/v1/teams/139,12,Tropicana Field,/api/v1/venues/12,/api/v1/game/718776/content,NA,Rays home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-30,15,0,15,0,718779,81d288dd-cf03-4ccf-a4ef-6fc62880bddd,/api/v1.1/game/718779/feed/live,R,2023,2023-03-30T20:05:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718779-2023-03-30,2023,day,9,FALSE,120,Regular Season,S,N,Normal Game,3,1,Final,F,Final,F,FALSE,F,7,FALSE,FALSE,1,0,1,.000,143,Philadelphia Phillies,/api/v1/teams/143,11,TRUE,FALSE,1,1,0,1.000,140,Texas Rangers,/api/v1/teams/140,5325,Globe Life Field,/api/v1/venues/5325,/api/v1/game/718779/content,NA,Rangers home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-30,15,0,15,0,718773,4571c156-fb15-4a99-bc4b-6c384a23e515,/api/v1.1/game/718773/feed/live,R,2023,2023-03-30T20:10:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718773-2023-03-30,2023,day,9,FALSE,120,Regular Season,S,N,Normal Game,3,1,Final,F,Final,F,FALSE,F,5,TRUE,FALSE,1,1,0,1.000,134,Pittsburgh Pirates,/api/v1/teams/134,4,FALSE,FALSE,1,0,1,.000,113,Cincinnati Reds,/api/v1/teams/113,2602,Great American Ball Park,/api/v1/venues/2602,/api/v1/game/718773/content,NA,Reds home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-30,15,0,15,0,718772,d2f5fce1-2b14-436f-aca6-df188adba82f,/api/v1.1/game/718772/feed/live,R,2023,2023-03-30T20:10:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718772-2023-03-30,2023,day,9,FALSE,120,Regular Season,S,N,Normal Game,3,1,Final,F,Final,F,FALSE,F,10,TRUE,FALSE,1,1,0,1.000,141,Toronto Blue Jays,/api/v1/teams/141,9,FALSE,FALSE,1,0,1,.000,138,St. Louis Cardinals,/api/v1/teams/138,2889,Busch Stadium,/api/v1/venues/2889,/api/v1/game/718772/content,NA,Cardinals home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-30,15,0,15,0,718775,e32de412-abd9-4496-9e46-fce10e465512,/api/v1.1/game/718775/feed/live,R,2023,2023-03-30T20:10:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718775-2023-03-30,2023,day,9,FALSE,120,Regular Season,S,N,Normal Game,3,1,Final,F,Final,F,FALSE,F,2,TRUE,FALSE,1,1,0,1.000,142,Minnesota Twins,/api/v1/teams/142,0,FALSE,FALSE,1,0,1,.000,118,Kansas City Royals,/api/v1/teams/118,7,Kauffman Stadium,/api/v1/venues/7,/api/v1/game/718775/content,NA,Royals home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-30,15,0,15,0,718774,31b63fbb-cd1b-400f-b22a-cb9dfaddc325,/api/v1.1/game/718774/feed/live,R,2023,2023-03-30T20:10:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718774-2023-03-30,2023,day,9,FALSE,120,Regular Season,S,N,Normal Game,4,1,Final,F,Final,F,FALSE,F,5,TRUE,FALSE,1,1,0,1.000,121,New York Mets,/api/v1/teams/121,3,FALSE,FALSE,1,0,1,.000,146,Miami Marlins,/api/v1/teams/146,4169,loanDepot park,/api/v1/venues/4169,/api/v1/game/718774/content,NA,Marlins home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-30,15,0,15,0,718768,9b75e922-62ff-4b5a-acc6-0224f8c0e687,/api/v1.1/game/718768/feed/live,R,2023,2023-03-30T23:08:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718768-2023-03-30,2023,night,9,FALSE,145,Regular Season,S,N,Normal Game,4,1,Final,F,Final,F,FALSE,F,3,TRUE,FALSE,1,1,0,1.000,145,Chicago White Sox,/api/v1/teams/145,2,FALSE,FALSE,1,0,1,.000,117,Houston Astros,/api/v1/teams/117,2392,Minute Maid Park,/api/v1/venues/2392,/api/v1/game/718768/content,NA,Astros home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-30,15,0,15,0,718778,348d32ac-02e9-4d49-8019-e480b9ac7c6a,/api/v1.1/game/718778/feed/live,R,2023,2023-03-31T01:40:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718778-2023-03-30,2023,night,9,FALSE,120,Regular Season,S,N,Normal Game,4,1,Final,F,Final,F,FALSE,F,7,TRUE,FALSE,1,1,0,1.000,115,Colorado Rockies,/api/v1/teams/115,2,FALSE,FALSE,1,0,1,.000,135,San Diego Padres,/api/v1/teams/135,2680,Petco Park,/api/v1/venues/2680,/api/v1/game/718778/content,NA,Padres home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-30,15,0,15,0,718769,684ee3e9-41d2-439e-8306-e52f9d8578f3,/api/v1.1/game/718769/feed/live,R,2023,2023-03-31T02:07:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718769-2023-03-30,2023,night,9,FALSE,120,Regular Season,S,N,Normal Game,3,1,Final,F,Final,F,FALSE,F,1,FALSE,FALSE,1,0,1,.000,108,Los Angeles Angels,/api/v1/teams/108,2,TRUE,FALSE,1,1,0,1.000,133,Oakland Athletics,/api/v1/teams/133,10,Oakland Coliseum,/api/v1/venues/10,/api/v1/game/718769/content,NA,Athletics home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-30,15,0,15,0,718770,a06b5045-046e-4940-bbff-156bd54baae5,/api/v1.1/game/718770/feed/live,R,2023,2023-03-31T02:10:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718770-2023-03-30,2023,night,9,FALSE,120,Regular Season,S,N,Normal Game,4,1,Final,F,Final,F,FALSE,F,2,FALSE,FALSE,1,0,1,.000,109,Arizona Diamondbacks,/api/v1/teams/109,8,TRUE,FALSE,1,1,0,1.000,119,Los Angeles Dodgers,/api/v1/teams/119,22,Dodger Stadium,/api/v1/venues/22,/api/v1/game/718770/content,NA,Dodgers home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-30,15,0,15,0,718767,7663b067-d762-43e3-915e-5a77c293cedb,/api/v1.1/game/718767/feed/live,R,2023,2023-03-31T02:10:00Z,2023-03-30,FALSE,1,TRUE,N,P,N,14-718767-2023-03-30,2023,night,9,FALSE,120,Regular Season,S,N,Normal Game,4,1,Final,F,Final,F,FALSE,F,0,FALSE,FALSE,1,0,1,.000,114,Cleveland Guardians,/api/v1/teams/114,3,TRUE,FALSE,1,1,0,1.000,136,Seattle Mariners,/api/v1/teams/136,680,T-Mobile Park,/api/v1/venues/680,/api/v1/game/718767/content,NA,Mariners home opener,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-31,5,0,5,0,718771,8c7e3c8d-0599-44a2-931e-3e158760cb39,/api/v1.1/game/718771/feed/live,R,2023,2023-03-31T22:40:00Z,2023-03-31,FALSE,1,TRUE,N,P,N,14-718771-2023-03-31,2023,night,9,FALSE,120,Regular Season,S,N,Normal Game,4,2,Final,F,Final,F,FALSE,F,1,FALSE,FALSE,1,1,1,.500,121,New York Mets,/api/v1/teams/121,2,TRUE,FALSE,1,1,1,.500,146,Miami Marlins,/api/v1/teams/146,4169,loanDepot park,/api/v1/venues/4169,/api/v1/game/718771/content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-31,5,0,5,0,718764,6901fb1d-ef0a-43c6-91f0-efb4bb5246cd,/api/v1.1/game/718764/feed/live,R,2023,2023-04-01T00:10:00Z,2023-03-31,FALSE,1,TRUE,N,P,N,14-718764-2023-03-31,2023,night,9,FALSE,120,Regular Season,S,N,Normal Game,4,2,Final,F,Final,F,FALSE,F,3,FALSE,FALSE,1,1,1,.500,145,Chicago White Sox,/api/v1/teams/145,6,TRUE,FALSE,1,1,1,.500,117,Houston Astros,/api/v1/teams/117,2392,Minute Maid Park,/api/v1/venues/2392,/api/v1/game/718764/content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-31,5,0,5,0,718766,d314b32b-2c62-48ae-afa1-861d9dc860b0,/api/v1.1/game/718766/feed/live,R,2023,2023-04-01T01:40:00Z,2023-03-31,FALSE,1,TRUE,N,P,N,14-718766-2023-03-31,2023,night,9,FALSE,120,Regular Season,S,N,Normal Game,4,2,Final,F,Final,F,FALSE,F,4,TRUE,FALSE,1,2,0,1.000,115,Colorado Rockies,/api/v1/teams/115,1,FALSE,FALSE,1,0,2,.000,135,San Diego Padres,/api/v1/teams/135,2680,Petco Park,/api/v1/venues/2680,/api/v1/game/718766/content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2023-03-31,5,0,5,0,718765,6e255a1a-a735-440c-855b-7a3223dd2f4c,/api/v1.1/game/718765/feed/live,R,2023,2023-04-01T02:10:00Z,2023-03-31,FALSE,1,TRUE,N,P,N,14-718765-2023-03-31,2023,night,9,FALSE,120,Regular Season,S,N,Normal Game,4,2,Final,F,Final,F,FALSE,F,2,TRUE,FALSE,1,1,1,.500,109,Arizona Diamondbacks,/api/v1/teams/109,1,FALSE,FALSE,1,1,1,.500,119,Los Angeles Dodgers,/api/v1/teams/119,22,Dodger Stadium,/api/v1/venues/22,/api/v1/game/718765/content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
