game_pk,game_date,hitter_name
718780,2023-03-30,NA
718781,2023-03-30,Gleyber Torres
718781,2023-03-30,Aaron Judge
718782,2023-03-30,Ramon Urias
718782,2023-03-30,Adley Rutschman
718777,2023-03-30,NA
718776,2023-03-30,Wander Franco
718776,2023-03-30,Jose Siri
718779,2023-03-30,Brad Miller
718779,2023-03-30,Robbie Grossman
718779,2023-03-30,Alec Bohm
718773,2023-03-30,Spencer Steer
718773,2023-03-30,Oneil Cruz
718772,2023-03-30,Brendan Donovan
718772,2023-03-30,Tyler O'Neill
718775,2023-03-30,NA
718774,2023-03-30,Garrett Cooper
718768,2023-03-30,Yordan Alvarez
718768,2023-03-30,Yasmani Grandal
718778,2023-03-31,Elehuris Montero
718778,2023-03-31,C.J. Cron
718778,2023-03-31,C.J. Cron
718769,2023-03-30,NA
718770,2023-03-31,James Outman
718767,2023-03-31,Ty France
718771,2023-03-31,Pete Alonso
718771,2023-03-31,Jazz Chisholm Jr.
718771,2023-03-31,Jorge Soler
718764,2023-04-01,Kyle Tucker
718766,2023-04-01,Charlie Blackmon
718765,2023-04-01,Kyle Lewis
718765,2023-04-01,Mookie Betts
718763,2023-03-31,NA
718760,2023-04-01,Seby Zavala
718760,2023-04-01,Yoan Moncada
718759,2023-04-01,NA
718758,2023-04-01,Ian Happ
718752,2023-04-01,Mitch Garver
718752,2023-04-01,Mitch Garver
718752,2023-04-01,Marcus Semien
718753,2023-04-01,Keibert Ruiz
718753,2023-04-01,Matt Olson
718753,2023-04-01,Marcell Ozuna
718753,2023-04-01,Matt Olson
718753,2023-04-01,Ronald Acuna Jr.
718762,2023-04-01,Josh Donaldson
718762,2023-04-01,Brandon Crawford
718762,2023-04-01,Joc Pederson
718762,2023-04-01,Giancarlo Stanton
718757,2023-04-01,Ramon Laureano
718757,2023-04-01,Taylor Ward
718761,2023-04-01,Adam Duvall
718761,2023-04-01,Enrique Hernandez
718761,2023-04-01,Adam Duvall
718761,2023-04-01,Alex Verdugo
718761,2023-04-01,Cedric Mullins
718761,2023-04-01,Austin Hays
718761,2023-04-01,Ryan Mountcastle
718756,2023-04-01,Jake Fraley
718756,2023-04-01,Kevin Newman
718756,2023-04-01,Jonathan India
718754,2023-04-01,Yandy Diaz
718751,2023-04-01,NA
718755,2023-04-01,Mark Canha
718755,2023-04-01,Nick Fortes
718750,2023-04-02,C.J. Cron
718750,2023-04-02,Xander Bogaerts
718749,2023-04-02,Trayce Thompson
718749,2023-04-02,J.D. Martinez
718749,2023-04-02,Trayce Thompson
718749,2023-04-02,Christian Walker
718749,2023-04-02,Trayce Thompson
718746,2023-04-02,Andres Gimenez
718746,2023-04-02,Josh Naylor
718742,2023-04-02,Jake Rogers
718742,2023-04-02,Randy Arozarena
718748,2023-04-02,Cedric Mullins
718748,2023-04-02,Adam Frazier
718748,2023-04-02,Enrique Hernandez
718743,2023-04-02,NA
718747,2023-04-02,Kyle Higashioka
718747,2023-04-02,Giancarlo Stanton
718747,2023-04-02,Aaron Judge
718744,2023-04-02,TJ Friedl
718744,2023-04-02,Bryan Reynolds
718744,2023-04-02,Jason Vosler
718741,2023-04-02,Tommy Pham
718745,2023-04-02,Matt Duffy
718745,2023-04-02,Joey Gallo
718745,2023-04-02,Joey Gallo
718745,2023-04-02,Edward Olivares
718740,2023-04-02,Yoan Moncada
718740,2023-04-02,Luis Robert Jr.
718737,2023-04-02,Nolan Gorman
718737,2023-04-02,Nolan Gorman
718737,2023-04-02,Alec Burleson
718737,2023-04-02,Brendan Donovan
718738,2023-04-02,Patrick Wisdom
718738,2023-04-02,Patrick Wisdom
718734,2023-04-02,Shohei Ohtani
718734,2023-04-02,Mike Trout
718734,2023-04-02,Logan O'Hoppe
718736,2023-04-02,Will Smith
718733,2023-04-02,Ryan McMahon
718733,2023-04-02,Xander Bogaerts
718733,2023-04-02,Trent Grisham
718735,2023-04-02,Mike Zunino
718735,2023-04-02,Julio Rodriguez
718739,2023-04-02,Josh Jung
718731,2023-04-03,Brice Turang
718731,2023-04-03,Brian Anderson
718730,2023-04-03,Bryce Johnson
718730,2023-04-03,David Villar
718730,2023-04-03,Luis Robert Jr.
718730,2023-04-03,David Villar
718730,2023-04-03,Mike Yastrzemski
718730,2023-04-03,Thairo Estrada
718730,2023-04-03,Michael Conforto
718730,2023-04-03,Joc Pederson
718728,2023-04-03,Jason Vosler
718728,2023-04-03,Cody Bellinger
718729,2023-04-03,Ryan Jeffers
718729,2023-04-03,Trevor Larnach
718729,2023-04-03,Joey Gallo
718729,2023-04-03,Max Kepler
718732,2023-04-03,Jeimer Candelario
718732,2023-04-03,Luke Raley
718732,2023-04-03,Isaac Paredes
718732,2023-04-03,Luke Raley
718725,2023-04-03,Anthony Rizzo
718725,2023-04-03,Gleyber Torres
718724,2023-04-03,Bryan Reynolds
718724,2023-04-03,Jason Delay
718724,2023-04-03,Bryan Reynolds
718724,2023-04-03,Triston Casas
718724,2023-04-03,Masataka Yoshida
718724,2023-04-03,Rafael Devers
718719,2023-04-03,Bo Bichette
718719,2023-04-03,MJ Melendez
718727,2023-04-03,Paul Goldschmidt
718727,2023-04-03,Ronald Acuna Jr.
718727,2023-04-03,Ozzie Albies
718727,2023-04-03,Austin Riley
718726,2023-04-04,Jorge Mateo
718726,2023-04-04,Gunnar Henderson
718723,2023-04-04,Matt Vierling
718723,2023-04-04,Riley Greene
718723,2023-04-04,Yordan Alvarez
718721,2023-04-04,Seth Brown
718721,2023-04-04,Ramon Laureano
718721,2023-04-04,Josh Naylor
718721,2023-04-04,Jace Peterson
718722,2023-04-04,Ha-Seong Kim
718722,2023-04-04,David Dahl
718722,2023-04-04,Evan Longoria
718722,2023-04-04,Corbin Carroll
718722,2023-04-04,Juan Soto
718720,2023-04-04,Taylor Ward
718720,2023-04-04,Shohei Ohtani
718718,2023-04-04,Will Smith
718718,2023-04-04,Jason Heyward
718718,2023-04-04,Chris Taylor
718717,2023-04-04,Trent Grisham
718717,2023-04-04,Xander Bogaerts
718717,2023-04-04,Nelson Cruz
718716,2023-04-04,Stuart Fairchild
718716,2023-04-04,Jason Vosler
718716,2023-04-04,TJ Friedl
718714,2023-04-04,Avisail Garcia
718715,2023-04-04,Yandy Diaz
718715,2023-04-04,Josh Lowe
718715,2023-04-04,Luke Raley
718715,2023-04-04,Jose Siri
718710,2023-04-04,DJ LeMahieu
718710,2023-04-04,Brandon Marsh
718710,2023-04-04,Kyle Schwarber
718713,2023-04-04,Bryan Reynolds
718713,2023-04-04,Ji Hwan Bae
718708,2023-04-04,Daulton Varsho
718708,2023-04-04,Franmil Reyes
718712,2023-04-04,Garrett Mitchell
718712,2023-04-04,Brian Anderson
718712,2023-04-04,Garrett Mitchell
718712,2023-04-04,Brian Anderson
718712,2023-04-04,Rowdy Tellez
718711,2023-04-04,Orlando Arcia
718711,2023-04-04,Austin Riley
718709,2023-04-05,Nathaniel Lowe
718709,2023-04-05,Jorge Mateo
718709,2023-04-05,Adolis Garcia
718709,2023-04-05,Ryan Mountcastle
718705,2023-04-05,Spencer Torkelson
718705,2023-04-05,Kyle Tucker
718707,2023-04-05,Gabriel Arias
718706,2023-04-05,AJ Pollock
718706,2023-04-05,AJ Pollock
718706,2023-04-05,Teoscar Hernandez
718706,2023-04-05,Teoscar Hernandez
718703,2023-04-05,Max Muncy
718703,2023-04-05,Jason Heyward
718703,2023-04-05,Will Smith
718704,2023-04-05,Harold Ramirez
718704,2023-04-05,Wander Franco
718699,2023-04-05,Kyle Schwarber
718699,2023-04-05,Jose Trevino
718701,2023-04-05,Jorge Soler
718701,2023-04-05,Jorge Soler
718697,2023-04-05,Jordan Walker
718697,2023-04-05,Matt Olson
718702,2023-04-05,Carlos Santana
718698,2023-04-05,Garrett Mitchell
718698,2023-04-05,Pete Alonso
718698,2023-04-05,Pete Alonso
718698,2023-04-05,Joey Wiemer
718694,2023-04-05,Josh Jung
718696,2023-04-05,Jeremy Pena
718696,2023-04-05,Kyle Tucker
718696,2023-04-05,Chas McCormick
718695,2023-04-05,J.D. Davis
718689,2023-04-05,Jesus Aguilar
718689,2023-04-05,Ryan Noda
718691,2023-04-05,Logan O'Hoppe
718692,2023-04-05,Vladimir Guerrero Jr.
718690,2023-04-06,Adam Duvall
718690,2023-04-06,Rafael Devers
718690,2023-04-06,Jake Rogers
718686,2023-04-06,Bobby Witt Jr.
718686,2023-04-06,Vladimir Guerrero Jr.
718686,2023-04-06,Cavan Biggio
718687,2023-04-06,J.D. Davis
718687,2023-04-06,Wilmer Flores
718687,2023-04-06,Mike Yastrzemski
718687,2023-04-06,Blake Sabol
718687,2023-04-06,Michael Conforto
718682,2023-04-06,NA
718681,2023-04-06,Jake Cronenworth
718681,2023-04-06,Matt Carpenter
718681,2023-04-06,Orlando Arcia
718683,2023-04-07,Freddie Freeman
718693,2023-04-07,Pete Alonso
718693,2023-04-07,Francisco Lindor
718693,2023-04-07,Garrett Cooper
718693,2023-04-07,Starling Marte
718685,2023-04-07,Edmundo Sosa
718685,2023-04-07,J.T. Realmuto
718688,2023-04-07,Franchy Cordero
718684,2023-04-07,NA
718693,2023-04-07,Pete Alonso
718693,2023-04-07,Francisco Lindor
718693,2023-04-07,Garrett Cooper
718693,2023-04-07,Starling Marte
718675,2023-04-07,NA
718685,2023-04-07,Edmundo Sosa
718685,2023-04-07,J.T. Realmuto
718688,2023-04-07,Franchy Cordero
718677,2023-04-07,Julio Rodriguez
718684,2023-04-07,NA
718679,2023-04-07,Oscar Colas
718679,2023-04-07,Luis Robert Jr.
718679,2023-04-07,Bryan Reynolds
718679,2023-04-07,Jake Burger
718679,2023-04-07,Luis Robert Jr.
718679,2023-04-07,Carlos Santana
718680,2023-04-07,Salvador Perez
718680,2023-04-07,Vinnie Pasquantino
718678,2023-04-07,Wander Franco
718678,2023-04-07,Shea Langeliers
718678,2023-04-07,Christian Bethancourt
718678,2023-04-07,Manuel Margot
718678,2023-04-07,Ryan Noda
718678,2023-04-07,Isaac Paredes
718678,2023-04-07,Harold Ramirez
718676,2023-04-07,Marcell Ozuna
718674,2023-04-08,Willy Adames
718673,2023-04-08,Ryan McMahon
718673,2023-04-08,Jeimer Candelario
718673,2023-04-08,Alex Call
718670,2023-04-08,Bo Bichette
718670,2023-04-08,Mike Trout
718671,2023-04-08,Corbin Carroll
718671,2023-04-08,Evan Longoria
718671,2023-04-08,Chris Taylor
718671,2023-04-08,James Outman
718666,2023-04-08,Jeremy Pena
718666,2023-04-08,Byron Buxton
718666,2023-04-08,Yordan Alvarez
718666,2023-04-08,Kyle Farmer
718672,2023-04-08,Salvador Perez
718672,2023-04-08,Franmil Reyes
718672,2023-04-08,Bobby Witt Jr.
718672,2023-04-08,LaMonte Wade Jr.
718669,2023-04-08,Yan Gomes
718669,2023-04-08,Patrick Wisdom
718668,2023-04-08,Spencer Steer
718667,2023-04-08,Raimel Tapia
718667,2023-04-08,Rafael Devers
718667,2023-04-08,Adam Duvall
718667,2023-04-08,Rafael Devers
718665,2023-04-08,Randy Arozarena
718665,2023-04-08,Brandon Lowe
718665,2023-04-08,Manuel Margot
718661,2023-04-08,Eduardo Escobar
718661,2023-04-08,Jazz Chisholm Jr.
718661,2023-04-08,Pete Alonso
718663,2023-04-08,NA
718662,2023-04-08,Andrew McCutchen
718664,2023-04-08,Giancarlo Stanton
718660,2023-04-08,Jordan Walker
718660,2023-04-08,Nolan Arenado
718659,2023-04-08,Juan Soto
718656,2023-04-09,Jason Heyward
718656,2023-04-09,Ketel Marte
718656,2023-04-09,Geraldo Perdomo
718656,2023-04-09,James Outman
718658,2023-04-09,Mike Moustakas
718658,2023-04-09,Stone Garrett
718657,2023-04-09,Hunter Renfroe
718657,2023-04-09,Mike Trout
718657,2023-04-09,Luis Rengifo
718657,2023-04-09,George Springer
718657,2023-04-09,Matt Chapman
718657,2023-04-09,Bo Bichette
718652,2023-04-09,Alec Bohm
718654,2023-04-09,Triston Casas
718655,2023-04-09,Harold Ramirez
718655,2023-04-09,Brandon Lowe
718655,2023-04-09,Wander Franco
718653,2023-04-09,NA
718651,2023-04-09,Adley Rutschman
718651,2023-04-09,Aaron Judge
718651,2023-04-09,Franchy Cordero
718651,2023-04-09,Aaron Judge
718646,2023-04-09,Cal Raleigh
718647,2023-04-09,Garrett Cooper
718647,2023-04-09,Bryan De La Cruz
718649,2023-04-09,Chas McCormick
718650,2023-04-09,Christian Yelich
718650,2023-04-09,Willy Adames
718642,2023-04-09,Edwin Rios
718645,2023-04-09,Jurickson Profar
718645,2023-04-09,Elias Diaz
718643,2023-04-09,Michael Conforto
718644,2023-04-09,Brandon Drury
718644,2023-04-09,Matt Chapman
718644,2023-04-09,Logan O'Hoppe
718644,2023-04-09,Shohei Ohtani
718644,2023-04-09,Hunter Renfroe
718639,2023-04-09,NA
718648,2023-04-09,Ha-Seong Kim
718648,2023-04-09,Trent Grisham
718648,2023-04-09,Nelson Cruz
718640,2023-04-10,Hanser Alberto
718637,2023-04-10,NA
718635,2023-04-10,Austin Hays
718635,2023-04-10,Adley Rutschman
718635,2023-04-10,Ryan Mountcastle
718632,2023-04-10,Ji Man Choi
718638,2023-04-10,Brandon Lowe
718633,2023-04-10,Brandon Marsh
718633,2023-04-10,Yuli Gurriel
718633,2023-04-10,Alec Bohm
718633,2023-04-10,Jake Cave
718634,2023-04-10,NA
718636,2023-04-10,Sean Murphy
718628,2023-04-10,Jarred Kelenic
718630,2023-04-11,Hunter Dozier
718630,2023-04-11,Adolis Garcia
718630,2023-04-11,Jonah Heim
718630,2023-04-11,Corey Seager
718629,2023-04-10,NA
718631,2023-04-11,Hunter Renfroe
718627,2023-04-11,Christian Walker
718641,2023-04-11,Max Muncy
718641,2023-04-11,Wilmer Flores
718641,2023-04-11,Max Muncy
718641,2023-04-11,Mookie Betts
718626,2023-04-11,Franchy Cordero
718618,2023-04-11,Ryan Mountcastle
718618,2023-04-11,Austin Hays
718618,2023-04-11,Ryan Mountcastle
718618,2023-04-11,Shea Langeliers
718623,2023-04-11,Ji Hwan Bae
718623,2023-04-11,Ji Man Choi
718623,2023-04-11,Jack Suwinski
718623,2023-04-11,Kyle Tucker
718623,2023-04-11,Alex Bregman
718625,2023-04-11,Josh Lowe
718625,2023-04-11,Brandon Lowe
718625,2023-04-11,Yandy Diaz
718625,2023-04-11,Isaac Paredes
