game_pk,home_bases,away_bases
718780,9,14
718781,14,4
718782,15,25
718777,6,4
718776,12,8
718779,17,25
718773,13,10
718772,23,22
718775,3,13
718774,11,9
718768,7,16
718778,10,30
718769,8,5
718770,17,5
718767,12,5
718771,18,8
718764,11,15
718766,7,12
718765,9,12
718763,11,15
718760,12,16
718759,10,3
718758,9,7
718752,28,15
718753,9,23
718762,18,21
718757,8,16
718761,28,25
718756,16,8
718754,23,8
718751,5,6
718755,15,20
718750,16,13
718749,22,10
718746,4,11
718742,13,5
718748,19,18
718743,7,5
718747,16,3
718744,17,10
718741,5,9
718745,14,21
718740,7,26
718737,32,13
718738,16,17
718734,6,21
718736,7,11
718733,10,7
718735,15,15
718739,12,11
718731,16,3
718730,10,36
718728,16,18
718729,14,25
718732,7,18
718725,18,13
718724,20,20
718719,17,15
718727,15,22
718726,1,10
718723,13,15
718721,26,24
718722,19,16
718720,8,19
718718,28,8
718717,22,11
718716,19,21
718714,6,3
718715,19,25
718710,7,17
718713,6,12
718708,7,16
718712,29,8
718711,11,19
718709,14,17
718705,13,17
718707,9,14
718706,29,9
718703,18,11
718704,8,18
718699,15,9
718701,13,7
718697,12,16
718702,6,15
718698,18,16
718694,14,3
718696,24,9
718695,15,9
718689,11,10
718691,9,9
718692,2,14
718777,NA,NA
718690,10,15
718686,12,20
718687,14,38
718682,11,6
718681,21,14
718683,10,13
718693,15,10
718685,19,9
718688,14,14
718684,12,7
718693,15,10
718675,7,4
718685,19,9
718688,14,14
718677,8,16
718684,12,7
718679,32,26
718680,7,15
718678,25,20
718676,9,9
718674,13,5
718673,14,29
718670,8,13
718671,19,12
718666,20,13
718672,17,19
718669,21,9
718668,7,11
718667,7,27
718665,18,3
718661,16,8
718663,14,13
718662,15,17
718664,4,14
718660,6,19
718659,7,13
718656,31,22
718658,17,19
718657,21,20
718652,13,9
718654,11,12
718655,25,2
718653,4,6
718651,11,19
718646,13,14
718647,13,18
718649,3,17
718650,20,7
718642,10,17
718645,19,8
718643,9,7
718644,26,19
718639,20,13
718648,8,26
718640,4,13
718637,7,11
718635,16,12
718632,7,16
718638,9,3
718633,34,12
718634,10,2
718636,15,16
718628,10,11
718630,23,7
718629,16,9
718631,11,16
718627,13,3
718641,10,20
718626,10,17
718618,24,16
718623,21,17
718625,25,7
718619,16,27
718622,26,9
718621,5,14
718620,19,13
718617,27,20
718616,17,8
718615,17,14
718613,22,22
718614,8,2
718611,4,18
718624,15,3
718608,4,21
718610,15,10
718605,13,11
718604,10,11
718606,8,17
718607,12,23
718598,23,12
718609,11,14
718602,9,6
718599,10,22
718600,19,17
718603,10,14
718601,16,6
718595,8,21
718612,14,26
718596,19,16
718594,19,9
718597,12,13
718590,10,30
718593,9,12
718591,9,19
718589,12,12
718585,19,18
718586,7,22
718584,13,6
718592,12,13
718588,17,15
718587,15,14
718580,9,13
718583,11,11
718581,13,18
718579,11,29
718582,10,9
718578,23,18
718574,15,30
718575,9,30
718577,13,10
718572,14,7
718571,15,16
718570,21,20
718568,9,20
718569,8,12
718573,13,18
718560,19,13
718565,7,13
718576,20,14
