game_pk,date,away_team,home_team,home_fir,away_fir
718780,2023-03-30,Atlanta Braves,Washington Nationals,0,0
718781,2023-03-30,San Francisco Giants,New York Yankees,1,0
718782,2023-03-30,Baltimore Orioles,Boston Red Sox,0,1
718777,2023-03-30,Milwaukee Brewers,Chicago Cubs,0,0
718776,2023-03-30,Detroit Tigers,Tampa Bay Rays,0,0
718779,2023-03-30,Philadelphia Phillies,Texas Rangers,0,0
718773,2023-03-30,Pittsburgh Pirates,Cincinnati Reds,0,0
718772,2023-03-30,Toronto Blue Jays,St. Louis Cardinals,1,3
718775,2023-03-30,Minnesota Twins,Kansas City Royals,0,0
718774,2023-03-30,New York Mets,Miami Marlins,0,0
718768,2023-03-30,Chicago White Sox,Houston Astros,0,0
718778,2023-03-30,Colorado Rockies,San Diego Padres,1,1
718769,2023-03-30,Los Angeles Angels,Oakland Athletics,0,0
718770,2023-03-30,Arizona Diamondbacks,Los Angeles Dodgers,0,0
718767,2023-03-30,Cleveland Guardians,Seattle Mariners,0,0
718771,2023-03-31,New York Mets,Miami Marlins,0,0
718764,2023-03-31,Chicago White Sox,Houston Astros,0,0
718766,2023-03-31,Colorado Rockies,San Diego Padres,0,2
718765,2023-03-31,Arizona Diamondbacks,Los Angeles Dodgers,0,0
718763,2023-03-31,Cleveland Guardians,Seattle Mariners,0,0
718760,2023-04-01,Chicago White Sox,Houston Astros,2,0
718759,2023-04-01,Toronto Blue Jays,St. Louis Cardinals,0,0
718758,2023-04-01,Milwaukee Brewers,Chicago Cubs,0,0
718752,2023-04-01,Philadelphia Phillies,Texas Rangers,2,0
718753,2023-04-01,Atlanta Braves,Washington Nationals,0,2
718762,2023-04-01,San Francisco Giants,New York Yankees,1,0
718757,2023-04-01,Los Angeles Angels,Oakland Athletics,0,0
718761,2023-04-01,Baltimore Orioles,Boston Red Sox,0,3
718756,2023-04-01,Pittsburgh Pirates,Cincinnati Reds,0,1
718754,2023-04-01,Detroit Tigers,Tampa Bay Rays,1,0
718751,2023-04-01,Minnesota Twins,Kansas City Royals,0,0
718755,2023-04-01,New York Mets,Miami Marlins,0,0
718750,2023-04-01,Colorado Rockies,San Diego Padres,2,0
718749,2023-04-01,Arizona Diamondbacks,Los Angeles Dodgers,5,0
718746,2023-04-01,Cleveland Guardians,Seattle Mariners,0,0
718742,2023-04-02,Detroit Tigers,Tampa Bay Rays,0,0
718748,2023-04-02,Baltimore Orioles,Boston Red Sox,0,0
718743,2023-04-02,Atlanta Braves,Washington Nationals,0,0
718747,2023-04-02,San Francisco Giants,New York Yankees,0,0
718744,2023-04-02,Pittsburgh Pirates,Cincinnati Reds,0,0
718741,2023-04-02,New York Mets,Miami Marlins,1,2
718745,2023-04-02,Minnesota Twins,Kansas City Royals,0,0
718740,2023-04-02,Chicago White Sox,Houston Astros,0,0
718737,2023-04-02,Toronto Blue Jays,St. Louis Cardinals,2,0
718738,2023-04-02,Milwaukee Brewers,Chicago Cubs,0,0
718734,2023-04-02,Los Angeles Angels,Oakland Athletics,0,0
718736,2023-04-02,Arizona Diamondbacks,Los Angeles Dodgers,0,0
718733,2023-04-02,Colorado Rockies,San Diego Padres,0,0
718735,2023-04-02,Cleveland Guardians,Seattle Mariners,0,0
718739,2023-04-02,Philadelphia Phillies,Texas Rangers,0,0
718731,2023-04-03,New York Mets,Milwaukee Brewers,0,0
718730,2023-04-03,San Francisco Giants,Chicago White Sox,0,0
718728,2023-04-03,Chicago Cubs,Cincinnati Reds,1,3
718729,2023-04-03,Minnesota Twins,Miami Marlins,0,0
718732,2023-04-03,Tampa Bay Rays,Washington Nationals,0,0
718725,2023-04-03,Philadelphia Phillies,New York Yankees,2,0
718724,2023-04-03,Pittsburgh Pirates,Boston Red Sox,3,3
718719,2023-04-03,Toronto Blue Jays,Kansas City Royals,2,0
718727,2023-04-03,Atlanta Braves,St. Louis Cardinals,0,1
718726,2023-04-03,Baltimore Orioles,Texas Rangers,0,0
718723,2023-04-03,Detroit Tigers,Houston Astros,0,0
718721,2023-04-03,Cleveland Guardians,Oakland Athletics,0,2
718722,2023-04-03,Arizona Diamondbacks,San Diego Padres,2,0
718720,2023-04-03,Los Angeles Angels,Seattle Mariners,1,0
718718,2023-04-03,Colorado Rockies,Los Angeles Dodgers,0,0
718717,2023-04-04,Arizona Diamondbacks,San Diego Padres,0,0
718716,2023-04-04,Chicago Cubs,Cincinnati Reds,1,1
718714,2023-04-04,Minnesota Twins,Miami Marlins,0,0
718715,2023-04-04,Tampa Bay Rays,Washington Nationals,2,3
718710,2023-04-04,Philadelphia Phillies,New York Yankees,0,1
718713,2023-04-04,Pittsburgh Pirates,Boston Red Sox,0,0
718708,2023-04-04,Toronto Blue Jays,Kansas City Royals,0,0
718712,2023-04-04,New York Mets,Milwaukee Brewers,0,0
718711,2023-04-04,Atlanta Braves,St. Louis Cardinals,0,0
718709,2023-04-04,Baltimore Orioles,Texas Rangers,0,0
718705,2023-04-04,Detroit Tigers,Houston Astros,0,1
718707,2023-04-04,Cleveland Guardians,Oakland Athletics,0,0
718706,2023-04-04,Los Angeles Angels,Seattle Mariners,1,0
718703,2023-04-04,Colorado Rockies,Los Angeles Dodgers,0,0
718704,2023-04-05,Tampa Bay Rays,Washington Nationals,0,0
718699,2023-04-05,Philadelphia Phillies,New York Yankees,0,0
718701,2023-04-05,Minnesota Twins,Miami Marlins,0,0
718697,2023-04-05,Atlanta Braves,St. Louis Cardinals,0,2
718702,2023-04-05,Pittsburgh Pirates,Boston Red Sox,0,0
718698,2023-04-05,New York Mets,Milwaukee Brewers,0,1
718694,2023-04-05,Baltimore Orioles,Texas Rangers,2,0
718696,2023-04-05,Detroit Tigers,Houston Astros,0,0
718695,2023-04-05,San Francisco Giants,Chicago White Sox,0,0
718689,2023-04-05,Cleveland Guardians,Oakland Athletics,0,0
718691,2023-04-05,Los Angeles Angels,Seattle Mariners,1,0
718692,2023-04-05,Toronto Blue Jays,Kansas City Royals,0,0
718690,2023-04-06,Boston Red Sox,Detroit Tigers,0,0
718686,2023-04-06,Toronto Blue Jays,Kansas City Royals,0,0
718687,2023-04-06,San Francisco Giants,Chicago White Sox,0,3
718682,2023-04-06,Washington Nationals,Colorado Rockies,0,0
718681,2023-04-06,San Diego Padres,Atlanta Braves,0,0
718683,2023-04-06,Los Angeles Dodgers,Arizona Diamondbacks,0,0
718693,2023-04-07,Miami Marlins,New York Mets,0,0
718685,2023-04-07,Cincinnati Reds,Philadelphia Phillies,0,0
718688,2023-04-07,New York Yankees,Baltimore Orioles,0,0
718684,2023-04-07,Houston Astros,Minnesota Twins,0,0
718693,2023-04-07,Miami Marlins,New York Mets,0,0
718675,2023-04-07,Texas Rangers,Chicago Cubs,0,0
718685,2023-04-07,Cincinnati Reds,Philadelphia Phillies,0,0
718688,2023-04-07,New York Yankees,Baltimore Orioles,0,0
718677,2023-04-07,Seattle Mariners,Cleveland Guardians,1,0
718684,2023-04-07,Houston Astros,Minnesota Twins,0,0
718679,2023-04-07,Chicago White Sox,Pittsburgh Pirates,0,0
718680,2023-04-07,Kansas City Royals,San Francisco Giants,0,0
718678,2023-04-07,Oakland Athletics,Tampa Bay Rays,0,0
718676,2023-04-07,San Diego Padres,Atlanta Braves,0,2
718674,2023-04-07,St. Louis Cardinals,Milwaukee Brewers,0,0
718673,2023-04-07,Washington Nationals,Colorado Rockies,0,0
718670,2023-04-07,Toronto Blue Jays,Los Angeles Angels,0,0
718671,2023-04-07,Los Angeles Dodgers,Arizona Diamondbacks,1,1
718666,2023-04-08,Houston Astros,Minnesota Twins,0,0
718672,2023-04-08,Kansas City Royals,San Francisco Giants,0,0
718669,2023-04-08,Texas Rangers,Chicago Cubs,0,0
718668,2023-04-08,Cincinnati Reds,Philadelphia Phillies,0,1
718667,2023-04-08,Boston Red Sox,Detroit Tigers,0,0
718665,2023-04-08,Oakland Athletics,Tampa Bay Rays,0,0
718661,2023-04-08,Miami Marlins,New York Mets,1,0
718663,2023-04-08,Seattle Mariners,Cleveland Guardians,0,2
718662,2023-04-08,Chicago White Sox,Pittsburgh Pirates,0,0
718664,2023-04-08,New York Yankees,Baltimore Orioles,1,0
718660,2023-04-08,St. Louis Cardinals,Milwaukee Brewers,0,2
718659,2023-04-08,San Diego Padres,Atlanta Braves,0,0
718656,2023-04-08,Los Angeles Dodgers,Arizona Diamondbacks,0,4
718658,2023-04-08,Washington Nationals,Colorado Rockies,0,0
718657,2023-04-08,Toronto Blue Jays,Los Angeles Angels,0,0
718652,2023-04-09,Cincinnati Reds,Philadelphia Phillies,0,0
718654,2023-04-09,Boston Red Sox,Detroit Tigers,0,0
718655,2023-04-09,Oakland Athletics,Tampa Bay Rays,1,0
718653,2023-04-09,Chicago White Sox,Pittsburgh Pirates,0,0
718651,2023-04-09,New York Yankees,Baltimore Orioles,0,1
718646,2023-04-09,Seattle Mariners,Cleveland Guardians,0,0
718647,2023-04-09,Miami Marlins,New York Mets,0,3
718649,2023-04-09,Houston Astros,Minnesota Twins,0,0
718650,2023-04-09,St. Louis Cardinals,Milwaukee Brewers,0,0
718642,2023-04-09,Texas Rangers,Chicago Cubs,0,0
718645,2023-04-09,Washington Nationals,Colorado Rockies,0,0
718643,2023-04-09,Kansas City Royals,San Francisco Giants,0,0
718644,2023-04-09,Toronto Blue Jays,Los Angeles Angels,3,0
718639,2023-04-09,Los Angeles Dodgers,Arizona Diamondbacks,0,1
718648,2023-04-09,San Diego Padres,Atlanta Braves,0,0
718640,2023-04-10,Chicago White Sox,Minnesota Twins,0,0
718637,2023-04-10,New York Yankees,Cleveland Guardians,0,0
718635,2023-04-10,Oakland Athletics,Baltimore Orioles,2,1
718632,2023-04-10,Houston Astros,Pittsburgh Pirates,0,0
718638,2023-04-10,Boston Red Sox,Tampa Bay Rays,0,0
718633,2023-04-10,Miami Marlins,Philadelphia Phillies,0,0
718634,2023-04-10,San Diego Padres,New York Mets,0,0
718636,2023-04-10,Cincinnati Reds,Atlanta Braves,0,0
718628,2023-04-10,Seattle Mariners,Chicago Cubs,0,0
718630,2023-04-10,Kansas City Royals,Texas Rangers,0,0
718629,2023-04-10,St. Louis Cardinals,Colorado Rockies,0,0
718631,2023-04-10,Washington Nationals,Los Angeles Angels,0,0
718627,2023-04-10,Milwaukee Brewers,Arizona Diamondbacks,0,0
718641,2023-04-10,Los Angeles Dodgers,San Francisco Giants,0,1
718626,2023-04-11,New York Yankees,Cleveland Guardians,0,0
718618,2023-04-11,Oakland Athletics,Baltimore Orioles,0,0
718623,2023-04-11,Houston Astros,Pittsburgh Pirates,0,1
718625,2023-04-11,Boston Red Sox,Tampa Bay Rays,0,0
718619,2023-04-11,Miami Marlins,Philadelphia Phillies,0,0
718622,2023-04-11,Detroit Tigers,Toronto Blue Jays,0,0
718621,2023-04-11,San Diego Padres,New York Mets,0,0
718620,2023-04-11,Cincinnati Reds,Atlanta Braves,0,0
718617,2023-04-11,Seattle Mariners,Chicago Cubs,0,2
718616,2023-04-11,Chicago White Sox,Minnesota Twins,0,2
718615,2023-04-11,Kansas City Royals,Texas Rangers,0,0
718613,2023-04-11,St. Louis Cardinals,Colorado Rockies,0,1
718614,2023-04-11,Washington Nationals,Los Angeles Angels,0,0
718611,2023-04-11,Milwaukee Brewers,Arizona Diamondbacks,0,0
718624,2023-04-11,Los Angeles Dodgers,San Francisco Giants,2,0
718608,2023-04-12,Houston Astros,Pittsburgh Pirates,0,0
718610,2023-04-12,San Diego Padres,New York Mets,0,2
718605,2023-04-12,Chicago White Sox,Minnesota Twins,0,0
718604,2023-04-12,New York Yankees,Cleveland Guardians,1,0
718606,2023-04-12,Seattle Mariners,Chicago Cubs,0,0
718607,2023-04-12,St. Louis Cardinals,Colorado Rockies,1,0
718598,2023-04-12,Milwaukee Brewers,Arizona Diamondbacks,0,0
718609,2023-04-12,Miami Marlins,Philadelphia Phillies,0,0
718602,2023-04-12,Washington Nationals,Los Angeles Angels,0,0
718599,2023-04-12,Oakland Athletics,Baltimore Orioles,0,3
718600,2023-04-12,Boston Red Sox,Tampa Bay Rays,3,0
718603,2023-04-12,Detroit Tigers,Toronto Blue Jays,0,0
718601,2023-04-12,Cincinnati Reds,Atlanta Braves,0,2
718595,2023-04-12,Kansas City Royals,Texas Rangers,0,0
718612,2023-04-12,Los Angeles Dodgers,San Francisco Giants,2,0
718596,2023-04-13,Oakland Athletics,Baltimore Orioles,0,1
718594,2023-04-13,Boston Red Sox,Tampa Bay Rays,0,0
718597,2023-04-13,Philadelphia Phillies,Cincinnati Reds,1,1
718590,2023-04-13,Minnesota Twins,New York Yankees,0,9
718593,2023-04-13,Detroit Tigers,Toronto Blue Jays,0,0
718591,2023-04-13,Pittsburgh Pirates,St. Louis Cardinals,0,0
718589,2023-04-13,Milwaukee Brewers,San Diego Padres,1,2
718585,2023-04-14,San Francisco Giants,Detroit Tigers,0,1
718586,2023-04-14,Philadelphia Phillies,Cincinnati Reds,0,0
718584,2023-04-14,Arizona Diamondbacks,Miami Marlins,0,0
718592,2023-04-14,Cleveland Guardians,Washington Nationals,0,0
718588,2023-04-14,Minnesota Twins,New York Yankees,1,0
718587,2023-04-14,Tampa Bay Rays,Toronto Blue Jays,1,0
718580,2023-04-14,Los Angeles Angels,Boston Red Sox,0,0
718583,2023-04-14,Baltimore Orioles,Chicago White Sox,0,0
718581,2023-04-14,Texas Rangers,Houston Astros,0,0
718579,2023-04-14,Atlanta Braves,Kansas City Royals,0,3
718582,2023-04-14,Pittsburgh Pirates,St. Louis Cardinals,0,0
718578,2023-04-14,New York Mets,Oakland Athletics,0,0
718574,2023-04-14,Milwaukee Brewers,San Diego Padres,0,3
718575,2023-04-14,Chicago Cubs,Los Angeles Dodgers,0,0
