game_pk,date,away_team,home_team,first_score
718780,2023-03-30,Atlanta Braves,Washington Nationals,Atlanta Braves
718781,2023-03-30,San Francisco Giants,New York Yankees,New York Yankees
718782,2023-03-30,Baltimore Orioles,Boston Red Sox,Baltimore Orioles
718777,2023-03-30,Milwaukee Brewers,Chicago Cubs,Chicago Cubs
718776,2023-03-30,Detroit Tigers,Tampa Bay Rays,Tampa Bay Rays
718779,2023-03-30,Philadelphia Phillies,Texas Rangers,Philadelphia Phillies
718773,2023-03-30,Pittsburgh Pirates,Cincinnati Reds,Cincinnati Reds
718772,2023-03-30,Toronto Blue Jays,St. Louis Cardinals,Toronto Blue Jays
718775,2023-03-30,Minnesota Twins,Kansas City Royals,Minnesota Twins
718774,2023-03-30,New York Mets,Miami Marlins,New York Mets
718768,2023-03-30,Chicago White Sox,Houston Astros,Chicago White Sox
718778,2023-03-30,Colorado Rockies,San Diego Padres,Colorado Rockies
718769,2023-03-30,Los Angeles Angels,Oakland Athletics,Los Angeles Angels
718770,2023-03-30,Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks
718767,2023-03-30,Cleveland Guardians,Seattle Mariners,Seattle Mariners
718771,2023-03-31,New York Mets,Miami Marlins,Miami Marlins
718764,2023-03-31,Chicago White Sox,Houston Astros,Chicago White Sox
718766,2023-03-31,Colorado Rockies,San Diego Padres,Colorado Rockies
718765,2023-03-31,Arizona Diamondbacks,Los Angeles Dodgers,Los Angeles Dodgers
718763,2023-03-31,Cleveland Guardians,Seattle Mariners,Seattle Mariners
718760,2023-04-01,Chicago White Sox,Houston Astros,Houston Astros
718759,2023-04-01,Toronto Blue Jays,St. Louis Cardinals,St. Louis Cardinals
718758,2023-04-01,Milwaukee Brewers,Chicago Cubs,Chicago Cubs
718752,2023-04-01,Philadelphia Phillies,Texas Rangers,Texas Rangers
718753,2023-04-01,Atlanta Braves,Washington Nationals,Atlanta Braves
718762,2023-04-01,San Francisco Giants,New York Yankees,New York Yankees
718757,2023-04-01,Los Angeles Angels,Oakland Athletics,Los Angeles Angels
718761,2023-04-01,Baltimore Orioles,Boston Red Sox,Baltimore Orioles
718756,2023-04-01,Pittsburgh Pirates,Cincinnati Reds,Pittsburgh Pirates
718754,2023-04-01,Detroit Tigers,Tampa Bay Rays,Tampa Bay Rays
718751,2023-04-01,Minnesota Twins,Kansas City Royals,Minnesota Twins
718755,2023-04-01,New York Mets,Miami Marlins,New York Mets
718750,2023-04-01,Colorado Rockies,San Diego Padres,San Diego Padres
718749,2023-04-01,Arizona Diamondbacks,Los Angeles Dodgers,Los Angeles Dodgers
718746,2023-04-01,Cleveland Guardians,Seattle Mariners,Cleveland Guardians
718742,2023-04-02,Detroit Tigers,Tampa Bay Rays,Tampa Bay Rays
718748,2023-04-02,Baltimore Orioles,Boston Red Sox,Boston Red Sox
718743,2023-04-02,Atlanta Braves,Washington Nationals,Washington Nationals
718747,2023-04-02,San Francisco Giants,New York Yankees,New York Yankees
718744,2023-04-02,Pittsburgh Pirates,Cincinnati Reds,Cincinnati Reds
718741,2023-04-02,New York Mets,Miami Marlins,New York Mets
718745,2023-04-02,Minnesota Twins,Kansas City Royals,Minnesota Twins
718740,2023-04-02,Chicago White Sox,Houston Astros,Chicago White Sox
718737,2023-04-02,Toronto Blue Jays,St. Louis Cardinals,St. Louis Cardinals
718738,2023-04-02,Milwaukee Brewers,Chicago Cubs,Chicago Cubs
718734,2023-04-02,Los Angeles Angels,Oakland Athletics,Los Angeles Angels
718736,2023-04-02,Arizona Diamondbacks,Los Angeles Dodgers,Los Angeles Dodgers
718733,2023-04-02,Colorado Rockies,San Diego Padres,San Diego Padres
718735,2023-04-02,Cleveland Guardians,Seattle Mariners,Seattle Mariners
718739,2023-04-02,Philadelphia Phillies,Texas Rangers,Texas Rangers
