year,win_score,lose_score
1901,12,7
1901,10,2
1901,7,0
1901,8,7
1901,4,2
1901,11,9
1901,12,5
1901,9,3
1901,5,3
1901,10,4
1901,8,2
1901,10,9
1901,5,4
1901,7,3
1901,14,13
1901,10,6
1901,6,5
1901,5,1
1901,8,7
1901,5,3
1901,4,3
1901,12,6
1901,10,4
1901,13,9
1901,11,5
1901,6,3
1901,9,2
1901,5,1
1901,7,2
1901,13,1
1901,12,11
1901,6,4
1901,3,2
1901,4,3
1901,8,5
1901,5,2
1901,12,8
1901,9,6
1901,14,13
1901,14,12
1901,4,2
1901,8,6
1901,8,6
1901,12,6
1901,2,1
1901,8,7
1901,3,2
1901,4,2
1901,19,9
1901,6,3
1901,14,1
1901,6,4
1901,6,1
1901,8,3
1901,7,3
1901,7,5
1901,9,7
1901,23,12
1901,11,4
1901,5,4
1901,3,2
1901,16,12
1901,6,3
1901,11,3
1901,9,4
1901,9,4
1901,5,1
1901,2,1
1901,10,6
1901,11,4
1901,11,3
1901,11,7
1901,10,2
1901,8,4
1901,6,3
1901,4,2
1901,4,4
1901,10,3
1901,21,7
1901,4,2
1901,7,5
1901,5,4
1901,6,3
1901,6,5
1901,9,5
1901,3,2
1901,13,8
1901,4,0
1901,9,2
1901,14,10
1901,7,3
1901,4,2
1901,8,0
1901,4,3
1901,5,4
1901,5,1
1901,12,4
1901,3,1
1901,7,6
1901,8,7
1901,14,3
1901,9,8
1901,9,3
1901,4,2
1901,7,6
1901,5,2
1901,8,1
1901,9,3
1901,5,4
1901,7,6
1901,4,1
1901,3,0
1901,7,6
1901,3,2
1901,9,4
1901,12,5
1901,7,0
1901,9,4
1901,12,2
1901,7,5
1901,5,2
1901,6,3
1901,6,1
1901,14,5
1901,5,2
1901,8,7
1901,5,4
1901,6,5
1901,7,7
1901,3,2
1901,11,5
1901,3,2
1901,6,2
1901,11,1
1901,8,7
1901,4,3
1901,3,0
1901,3,2
1901,8,5
1901,4,0
1901,6,1
1901,8,2
1901,4,0
1901,6,5
1901,8,7
1901,14,1
1901,5,2
1901,12,5
1901,6,4
1901,6,2
1901,11,3
1901,12,2
1901,7,2
1901,7,6
1901,6,4
1901,8,7
1901,10,9
1901,7,6
1901,4,0
1901,6,4
1901,5,3
1901,9,7
1901,11,6
1901,4,0
1901,14,3
1901,11,2
1901,13,1
1901,5,4
1901,6,4
1901,11,5
1901,4,1
1901,2,1
1901,5,3
1901,9,5
1901,6,5
1901,9,5
1901,5,4
1901,5,4
1901,4,3
1901,2,1
1901,3,1
1901,11,9
1901,14,13
1901,4,2
1901,9,2
1901,7,3
1901,8,1
1901,10,6
1901,5,5
1901,3,0
1901,15,7
1901,6,4
1901,1,0
1901,5,3
1901,6,5
1901,5,0
1901,6,5
1901,6,3
1901,11,1
1901,5,0
1901,6,5
1901,10,3
1901,8,4
1901,8,3
1901,14,5
1901,4,3
1901,8,7
1901,1,0
1901,1,0
1901,7,4
1901,8,4
1901,8,3
1901,5,3
1901,3,1
1901,8,2
1901,10,7
1901,4,1
1901,5,2
1901,13,3
1901,4,3
1901,8,2
1901,4,3
1901,5,3
1901,6,4
1901,6,5
1901,2,1
1901,4,3
1901,10,5
1901,15,14
1901,5,5
1901,3,3
1901,5,2
1901,10,5
1901,6,2
1901,3,1
1901,3,0
1901,9,2
1901,2,1
1901,8,5
1901,4,3
1901,7,5
1901,11,8
1901,13,2
1901,6,1
1901,6,1
1901,5,3
1901,7,2
1901,2,1
1901,4,2
1901,3,0
1901,5,4
1901,11,1
1901,8,4
1901,3,2
1901,5,1
1901,9,1
1901,5,2
1901,6,5
1901,7,3
1901,4,3
1901,4,2
1901,3,2
1901,7,4
1901,1,1
1901,5,2
1901,4,3
1901,4,2
1901,14,4
1901,4,1
1901,4,3
1901,10,9
1901,4,2
1901,15,4
1901,6,4
1901,3,2
1901,5,4
1901,8,3
1901,13,5
1901,12,4
1901,6,1
1901,8,3
1901,5,4
1901,6,4
1901,7,3
1901,7,6
1901,25,13
1901,13,6
1901,7,4
1901,5,4
1901,13,10
1901,9,1
1901,9,5
1901,3,1
1901,8,0
1901,8,5
1901,8,4
1901,4,1
1901,3,1
1901,9,5
1901,3,2
1901,4,0
1901,3,1
1901,8,1
1901,4,2
1901,6,5
1901,6,0
1901,8,1
1901,6,6
1901,5,2
1901,6,0
1901,12,0
1901,11,6
1901,6,0
1901,9,7
1901,8,4
1901,6,2
1901,5,3
1901,10,5
1901,16,7
1901,7,0
1901,4,1
1901,7,1
1901,10,2
1901,12,4
1901,5,3
1901,9,2
1901,5,4
1901,1,0
1901,3,2
1901,4,4
1901,2,0
1901,11,5
1901,7,6
1901,11,1
1901,10,4
1901,12,8
1901,9,2
1901,9,8
1901,12,1
1901,11,4
1901,4,3
1901,9,5
1901,10,6
1901,10,5
1901,5,4
1901,9,2
1901,9,3
1901,5,3
1901,4,3
1901,7,2
1901,10,6
1901,6,2
1901,7,6
1901,5,5
1901,6,2
1901,7,2
1901,4,3
1901,6,4
1901,8,7
1901,8,1
1901,6,5
1901,2,0
1901,7,0
1901,6,5
1901,4,2
1901,4,3
1901,4,3
1901,4,0
1901,10,3
1901,21,3
1901,5,3
1901,3,2
1901,4,1
1901,10,3
1901,8,1
1901,6,4
1901,2,0
1901,16,6
1901,5,2
1901,4,2
1901,6,2
1901,13,3
1901,6,3
1901,17,8
1901,7,1
1901,7,5
1901,9,8
1901,2,1
1901,8,2
1901,3,2
1901,8,0
1901,19,1
1901,4,2
1901,4,2
1901,5,0
1901,3,1
1901,5,2
1901,9,4
1901,12,8
1901,3,0
1901,8,5
1901,5,4
1901,16,3
1901,3,2
1901,6,2
1901,9,5
1901,5,1
1901,4,3
1901,2,0
1901,8,7
1901,8,7
1901,7,5
1901,4,0
1901,16,7
1901,4,3
1901,6,3
1901,7,6
1901,4,0
1901,6,5
1901,5,3
1901,10,4
1901,11,10
1901,4,2
1901,15,13
1901,4,1
1901,5,0
1901,7,2
1901,7,4
1901,7,4
1901,11,5
1901,14,1
1901,5,4
1901,4,2
1901,7,0
1901,7,5
1901,8,5
1901,13,13
1901,10,8
1901,9,1
1901,4,2
1901,6,4
1901,1,0
1901,10,8
1901,3,2
1901,6,4
1901,10,6
1901,4,2
1901,10,1
1901,6,2
1901,5,3
1901,9,1
1901,4,3
1901,7,5
1901,9,7
1901,10,2
1901,8,3
1901,8,2
1901,6,5
1901,5,1
1901,8,7
1901,6,5
1901,5,3
1901,10,9
1901,2,0
1901,6,4
1901,5,3
1901,12,0
1901,6,2
1901,1,0
1901,2,1
1901,6,2
1901,8,4
1901,5,3
1901,12,5
1901,4,3
1901,7,2
1901,3,2
1901,7,0
1901,11,6
1901,6,5
1901,8,5
1901,8,6
1901,4,1
1901,6,2
1901,14,9
1901,8,3
1901,2,0
1901,8,5
1901,6,5
1901,3,1
1901,8,7
1901,2,1
1901,9,3
1901,5,0
1901,7,6
1901,11,1
1901,17,9
1901,3,1
1901,6,3
1901,5,4
1901,9,4
1901,5,3
1901,13,6
1901,7,4
1901,5,4
1901,5,1
1901,6,2
1901,3,0
1901,1,0
1901,3,1
1901,4,1
1901,6,1
1901,5,1
1901,6,2
1901,4,3
1901,5,4
1901,5,0
1901,14,12
1901,5,3
1901,14,1
1901,5,2
1901,7,0
