game_pk,home_hits,away_hits
718780,8,12
718781,8,4
718782,11,15
718777,6,4
718776,6,6
718779,10,12
718773,7,6
718772,15,19
718775,2,11
718774,5,8
718768,4,11
718778,7,17
718769,6,5
718770,12,4
718767,7,4
718771,10,4
718764,7,11
718766,5,9
718765,5,7
718763,7,13
718760,11,10
718759,10,3
718758,5,6
718752,17,9
718753,5,11
718762,10,12
718757,5,11
718761,11,13
718756,6,7
718754,13,6
718751,4,5
718755,10,12
718750,10,6
718749,8,5
718746,3,5
718742,8,2
718748,14,10
718743,6,4
718747,7,3
718744,9,6
718741,4,5
718745,6,13
718740,7,13
718737,16,10
718738,9,13
718734,5,11
718736,4,9
718733,4,4
718735,9,9
718739,8,9
718731,10,3
718730,5,14
718728,10,12
718729,12,10
718732,4,9
718725,9,11
718724,10,9
718719,10,10
718727,12,10
718726,1,4
718723,9,9
718721,14,16
718722,8,9
718720,5,11
718718,13,6
718717,10,9
718716,9,16
718714,3,3
718715,16,10
718710,4,10
718713,4,5
718708,4,11
718712,13,8
718711,10,12
718709,7,8
718705,10,12
718707,6,8
718706,13,7
718703,7,7
718704,6,11
718699,9,5
718701,7,6
718697,6,10
718702,5,9
718698,10,7
718694,9,2
718696,11,7
718695,13,4
718689,4,9
718691,8,5
718692,2,10
718700,NA,NA
718690,6,7
718686,8,11
718687,11,20
718682,9,6
718681,13,7
718683,5,7
718693,6,6
718685,10,6
718688,10,9
718684,11,5
718693,6,6
718675,6,3
718685,10,6
718688,10,9
718677,7,10
718684,11,5
718679,19,11
718680,5,9
718678,10,12
718676,6,7
718674,9,5
718673,10,18
718670,4,9
718671,10,5
718666,12,7
718672,12,8
718669,14,7
718668,6,8
718667,6,12
718665,8,3
718661,8,5
718663,9,11
718662,10,14
718664,4,7
718660,5,12
718659,5,8
718656,17,11
718658,11,11
718657,10,10
718652,7,6
718654,9,7
718655,12,1
718653,2,6
718651,6,9
718646,9,9
718647,9,11
718649,2,11
718650,11,6
718642,7,10
718645,10,8
718643,5,5
718644,13,13
718639,16,7
718648,8,13
718640,4,8
718637,4,6
718635,6,8
718632,3,13
718638,5,3
718633,20,9
718634,7,2
718636,10,12
718628,8,6
718630,11,4
718629,13,6
718631,7,14
718627,8,3
718641,7,9
718626,7,13
718618,12,12
718623,10,9
718625,11,6
718619,11,14
718622,10,5
718621,5,9
718620,11,8
718617,18,11
718616,9,4
718615,10,11
718613,12,11
718614,5,1
718611,4,8
718624,7,3
718608,3,12
718610,8,6
718605,10,6
718604,6,7
718606,5,10
718607,7,11
718598,12,11
718609,8,8
718602,7,6
718599,8,15
