game_pk,hitter_name,hitter_team,hrs
718781,Aaron Judge,New York Yankees,1
718781,Gleyber Torres,New York Yankees,1
718782,Adley Rutschman,Baltimore Orioles,1
718782,Ramon Urias,Baltimore Orioles,1
718776,Jose Siri,Tampa Bay Rays,1
718776,Wander Franco,Tampa Bay Rays,1
718779,Alec Bohm,Philadelphia Phillies,1
718779,Brad Miller,Texas Rangers,1
718779,Robbie Grossman,Texas Rangers,1
718773,Oneil Cruz,Pittsburgh Pirates,1
718773,Spencer Steer,Cincinnati Reds,1
718772,Brendan Donovan,St. Louis Cardinals,1
718772,Tyler O'Neill,St. Louis Cardinals,1
718774,Garrett Cooper,Miami Marlins,1
718768,Yasmani Grandal,Chicago White Sox,1
718768,Yordan Alvarez,Houston Astros,1
718778,C.J. Cron,Colorado Rockies,2
718778,Elehuris Montero,Colorado Rockies,1
718770,James Outman,Los Angeles Dodgers,1
718767,Ty France,Seattle Mariners,1
718771,Jazz Chisholm Jr.,Miami Marlins,1
718771,Jorge Soler,Miami Marlins,1
718771,Pete Alonso,New York Mets,1
718764,Kyle Tucker,Houston Astros,1
718766,Charlie Blackmon,Colorado Rockies,1
718765,Kyle Lewis,Arizona Diamondbacks,1
718765,Mookie Betts,Los Angeles Dodgers,1
718760,Seby Zavala,Chicago White Sox,1
718760,Yoan Moncada,Chicago White Sox,1
718758,Ian Happ,Chicago Cubs,1
718752,Marcus Semien,Texas Rangers,1
718752,Mitch Garver,Texas Rangers,2
718753,Keibert Ruiz,Washington Nationals,1
718753,Marcell Ozuna,Atlanta Braves,1
718753,Matt Olson,Atlanta Braves,2
718753,Ronald Acuna Jr.,Atlanta Braves,1
718762,Brandon Crawford,San Francisco Giants,1
718762,Giancarlo Stanton,New York Yankees,1
718762,Joc Pederson,San Francisco Giants,1
718762,Josh Donaldson,New York Yankees,1
718757,Ramon Laureano,Oakland Athletics,1
718757,Taylor Ward,Los Angeles Angels,1
718761,Adam Duvall,Boston Red Sox,2
718761,Alex Verdugo,Boston Red Sox,1
718761,Austin Hays,Baltimore Orioles,1
718761,Cedric Mullins,Baltimore Orioles,1
718761,Enrique Hernandez,Boston Red Sox,1
718761,Ryan Mountcastle,Baltimore Orioles,1
718756,Jake Fraley,Cincinnati Reds,1
718756,Jonathan India,Cincinnati Reds,1
718756,Kevin Newman,Cincinnati Reds,1
718754,Yandy Diaz,Tampa Bay Rays,1
718755,Mark Canha,New York Mets,1
718755,Nick Fortes,Miami Marlins,1
718750,C.J. Cron,Colorado Rockies,1
718750,Xander Bogaerts,San Diego Padres,1
718749,Christian Walker,Arizona Diamondbacks,1
718749,J.D. Martinez,Los Angeles Dodgers,1
718749,Trayce Thompson,Los Angeles Dodgers,3
718746,Andres Gimenez,Cleveland Guardians,1
718746,Josh Naylor,Cleveland Guardians,1
718742,Jake Rogers,Detroit Tigers,1
718742,Randy Arozarena,Tampa Bay Rays,1
718748,Adam Frazier,Baltimore Orioles,1
718748,Cedric Mullins,Baltimore Orioles,1
718748,Enrique Hernandez,Boston Red Sox,1
718747,Aaron Judge,New York Yankees,1
718747,Giancarlo Stanton,New York Yankees,1
718747,Kyle Higashioka,New York Yankees,1
718744,Bryan Reynolds,Pittsburgh Pirates,1
718744,Jason Vosler,Cincinnati Reds,1
718744,TJ Friedl,Cincinnati Reds,1
718741,Tommy Pham,New York Mets,1
718745,Edward Olivares,Kansas City Royals,1
718745,Joey Gallo,Minnesota Twins,2
718745,Matt Duffy,Kansas City Royals,1
718740,Luis Robert Jr.,Chicago White Sox,1
718740,Yoan Moncada,Chicago White Sox,1
718737,Alec Burleson,St. Louis Cardinals,1
718737,Brendan Donovan,St. Louis Cardinals,1
718737,Nolan Gorman,St. Louis Cardinals,2
718738,Patrick Wisdom,Chicago Cubs,2
718734,Logan O'Hoppe,Los Angeles Angels,1
718734,Mike Trout,Los Angeles Angels,1
718734,Shohei Ohtani,Los Angeles Angels,1
718736,Will Smith,Los Angeles Dodgers,1
718733,Ryan McMahon,Colorado Rockies,1
718733,Trent Grisham,San Diego Padres,1
718733,Xander Bogaerts,San Diego Padres,1
718735,Julio Rodriguez,Seattle Mariners,1
718735,Mike Zunino,Cleveland Guardians,1
718739,Josh Jung,Texas Rangers,1
718731,Brian Anderson,Milwaukee Brewers,1
718731,Brice Turang,Milwaukee Brewers,1
718730,Bryce Johnson,San Francisco Giants,1
718730,David Villar,San Francisco Giants,2
718730,Joc Pederson,San Francisco Giants,1
718730,Luis Robert Jr.,Chicago White Sox,1
718730,Michael Conforto,San Francisco Giants,1
718730,Mike Yastrzemski,San Francisco Giants,1
718730,Thairo Estrada,San Francisco Giants,1
718728,Cody Bellinger,Chicago Cubs,1
718728,Jason Vosler,Cincinnati Reds,1
718729,Joey Gallo,Minnesota Twins,1
718729,Max Kepler,Minnesota Twins,1
718729,Ryan Jeffers,Minnesota Twins,1
718729,Trevor Larnach,Minnesota Twins,1
718732,Isaac Paredes,Tampa Bay Rays,1
718732,Jeimer Candelario,Washington Nationals,1
718732,Luke Raley,Tampa Bay Rays,2
718725,Anthony Rizzo,New York Yankees,1
718725,Gleyber Torres,New York Yankees,1
718724,Bryan Reynolds,Pittsburgh Pirates,2
718724,Jason Delay,Pittsburgh Pirates,1
718724,Masataka Yoshida,Boston Red Sox,1
718724,Rafael Devers,Boston Red Sox,1
718724,Triston Casas,Boston Red Sox,1
718719,Bo Bichette,Toronto Blue Jays,1
718719,MJ Melendez,Kansas City Royals,1
718727,Austin Riley,Atlanta Braves,1
718727,Ozzie Albies,Atlanta Braves,1
718727,Paul Goldschmidt,St. Louis Cardinals,1
718727,Ronald Acuna Jr.,Atlanta Braves,1
718726,Gunnar Henderson,Baltimore Orioles,1
718726,Jorge Mateo,Baltimore Orioles,1
718723,Matt Vierling,Detroit Tigers,1
718723,Riley Greene,Detroit Tigers,1
718723,Yordan Alvarez,Houston Astros,1
718721,Jace Peterson,Oakland Athletics,1
718721,Josh Naylor,Cleveland Guardians,1
718721,Ramon Laureano,Oakland Athletics,1
718721,Seth Brown,Oakland Athletics,1
718722,Corbin Carroll,Arizona Diamondbacks,1
718722,David Dahl,San Diego Padres,1
718722,Evan Longoria,Arizona Diamondbacks,1
718722,Ha-Seong Kim,San Diego Padres,1
718722,Juan Soto,San Diego Padres,1
718720,Shohei Ohtani,Los Angeles Angels,1
