game_pk,date,batting_team,game_third,runs
718780,2023-03-30,Atlanta Braves,Innings 1-3,3
718780,2023-03-30,Atlanta Braves,Innings 4-6,1
718780,2023-03-30,Atlanta Braves,Innings 7+,3
718780,2023-03-30,Washington Nationals,Innings 1-3,1
718780,2023-03-30,Washington Nationals,Innings 4-6,1
718781,2023-03-30,New York Yankees,Innings 1-3,1
718781,2023-03-30,New York Yankees,Innings 4-6,2
718781,2023-03-30,New York Yankees,Innings 7+,2
718782,2023-03-30,Baltimore Orioles,Innings 1-3,1
718782,2023-03-30,Baltimore Orioles,Innings 4-6,6
718782,2023-03-30,Baltimore Orioles,Innings 7+,2
718782,2023-03-30,Boston Red Sox,Innings 1-3,1
718782,2023-03-30,Boston Red Sox,Innings 4-6,3
718782,2023-03-30,Boston Red Sox,Innings 7+,5
718777,2023-03-30,Chicago Cubs,Innings 1-3,4
718776,2023-03-30,Tampa Bay Rays,Innings 1-3,1
718776,2023-03-30,Tampa Bay Rays,Innings 4-6,2
718776,2023-03-30,Tampa Bay Rays,Innings 7+,1
718779,2023-03-30,Philadelphia Phillies,Innings 1-3,3
718779,2023-03-30,Philadelphia Phillies,Innings 4-6,2
718779,2023-03-30,Philadelphia Phillies,Innings 7+,1
718779,2023-03-30,Texas Rangers,Innings 4-6,10
718773,2023-03-30,Cincinnati Reds,Innings 1-3,1
718773,2023-03-30,Cincinnati Reds,Innings 4-6,3
718773,2023-03-30,Pittsburgh Pirates,Innings 1-3,1
718773,2023-03-30,Pittsburgh Pirates,Innings 4-6,2
718773,2023-03-30,Pittsburgh Pirates,Innings 7+,1
718772,2023-03-30,St. Louis Cardinals,Innings 1-3,3
718772,2023-03-30,St. Louis Cardinals,Innings 4-6,3
718772,2023-03-30,St. Louis Cardinals,Innings 7+,3
718772,2023-03-30,Toronto Blue Jays,Innings 1-3,4
718772,2023-03-30,Toronto Blue Jays,Innings 4-6,1
718772,2023-03-30,Toronto Blue Jays,Innings 7+,5
718775,2023-03-30,Minnesota Twins,Innings 4-6,2
718774,2023-03-30,Miami Marlins,Innings 4-6,3
718774,2023-03-30,New York Mets,Innings 1-3,1
718774,2023-03-30,New York Mets,Innings 4-6,2
718774,2023-03-30,New York Mets,Innings 7+,2
718768,2023-03-30,Chicago White Sox,Innings 7+,3
718768,2023-03-30,Houston Astros,Innings 7+,1
718778,2023-03-31,Colorado Rockies,Innings 1-3,1
718778,2023-03-31,Colorado Rockies,Innings 4-6,4
718778,2023-03-31,Colorado Rockies,Innings 7+,2
718778,2023-03-31,San Diego Padres,Innings 1-3,1
718778,2023-03-31,San Diego Padres,Innings 4-6,1
718769,2023-03-31,Los Angeles Angels,Innings 4-6,1
718769,2023-03-31,Oakland Athletics,Innings 7+,2
718770,2023-03-31,Arizona Diamondbacks,Innings 1-3,2
718770,2023-03-31,Los Angeles Dodgers,Innings 1-3,2
718770,2023-03-31,Los Angeles Dodgers,Innings 4-6,5
718770,2023-03-31,Los Angeles Dodgers,Innings 7+,1
